act,days_water.basin,days_water.act,diff,pct_diff
bike,1882.3667951486616,1617,265.3667951486616,16.41
camp,1599.7399961808082,1585,14.739996180808248,0.93
fish,1869.200527050313,1915,-45.799472949687015,-2.39
hunt,264,259,5,1.93
picnic,4461.494656049027,3593,868.4946560490271,24.17
snow,118.73436352852106,130,-11.265636471478942,-8.67
trail,2841.928652538458,2443,398.9286525384582,16.33
water,1987.1627291608238,2020,-32.8372708391762,-1.63
wildlife,2890.864886092428,2900,-9.13511390757185,-0.32
