Vrid,Vstatus,qualify,race,sex,agecat,stwt,in_co_pop,age_weight,income_weight,race_weight,grp.nmtr.all_1,grp.nmtr.all_2,grp.nmtr.all_3,grp.nmtr.all_4,grp.nmtr.all_5,grp.nmtr.all_6,grp.nmtr.all_7,grp.nmtr.all_8,grp.nmtr.all_10,grp.nmtr.all_11,grp.nmtr.all_12,grp.nmtr.all_13,act.mtr.all_1,act.mtr.all_2,act.mtr.all_3,act.mtr.all_4,act.mtr.all_6,act.mtr.all_7,act.mtr.all_8,act.mtr.all_9,act.mtr.all_10,act.mtr.all_11,act.mtr.all_13
11087,Complete,1,White,Male,35-54,1.510395447045606,TRUE,35-54,75-100K,White,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
11263,Complete,1,Not white or Hispanic,Female,18-34,0.7083561580005578,TRUE,18-34,0-25K,Not white or Hispanic,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
3986,Complete,0,White,Male,55+,1.2022230711635153,TRUE,55+,35-50K,White,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
6780,Complete,0,White,Female,55+,0.5804410148135051,TRUE,55+,0-25K,White,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
7880,Complete,0,White,Male,18-34,1.2930424525334168,TRUE,18-34,0-25K,White,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
10473,Complete,1,Hispanic,Female,35-54,1.471722340321273,TRUE,35-54,50-75K,Hispanic,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
11089,Complete,1,White,Female,35-54,0.8528117855861924,TRUE,35-54,50-75K,White,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked
8626,Partial,1,White,Male,55+,1.0871799354724117,TRUE,55+,NA,White,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
9242,Complete,1,White,Male,55+,0.9296338686407607,TRUE,55+,25-35K,White,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
8715,Partial,0,Not white or Hispanic,Male,18-34,0.9700989346853888,TRUE,18-34,NA,Not white or Hispanic,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
